Run,DataSet,Nodes,Topol,rows,cols,normMeth,wghtMeth,niter,alphaCrs,alphaFin,Clusters,ColRowRat,Dist_mn,QE,npF,pVal_npF,blank,obs1,obs2,obs3,obs4,obs5,obs6,obs7,obs8,obs9,obs10,obs11,obs12,obs13,obs14,obs15,obs16,obs17,obs18,obs19,obs20,obs21,obs22,obs23,obs24,obs25,obs26,obs27,obs28,obs29,obs30,obs31,obs32,obs33,obs34,obs35,obs36,obs37,obs38,obs39,obs40,obs41,obs42,obs43,obs44,obs45,obs46,obs47,obs48,obs49
 61,hford,40,hexagonal,5, 8,L2norm,noPCA,1000,0.05,0.01,3,1.6,0.116843113651258,0.116843,14.738994,0.01,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,3
 62,hford,45,hexagonal,5, 9,L2norm,noPCA,1000,0.05,0.01,3,1.8,0.119615553261741,0.119616,14.738994,0.01,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,1,1,1,2
 63,hford,30,hexagonal,6, 5,L2norm,noPCA,1000,0.05,0.01,3,0.8,0.149454066487462,0.149454,4.322477,0.01,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2
 64,hford,36,hexagonal,6, 6,L2norm,noPCA,1000,0.05,0.01,3,1.0,0.111624541151764,0.111625,14.738994,0.01,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,1,1,1,2
 65,hford,42,hexagonal,6, 7,L2norm,noPCA,1000,0.05,0.01,3,1.2,0.10645550869412,0.106456,13.768606,0.01,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,3
 66,hford,30,hexagonal,3,10,L2norm,noPCA,1000,0.05,0.01,4,3.3,0.164146246395418,0.164146,11.701012,0.01,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,4
 67,hford,33,hexagonal,3,11,L2norm,noPCA,1000,0.05,0.01,4,3.7,0.151172544302779,0.151173,13.226685,0.01,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,3,2,3,3
 68,hford,36,hexagonal,3,12,L2norm,noPCA,1000,0.05,0.01,4,4.0,0.171933303277155,0.171933,16.862941,0.01,0,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,3,3,3,2,2,2,2,2,2,2,4,1,1,1,2,2,2,1,2,1,2,2,2,2,2,3,3,3,3,2,2,2,2
 69,hford,28,hexagonal,4, 7,L2norm,noPCA,1000,0.05,0.01,4,1.8,0.156555682711973,0.156556,9.956365,0.01,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,4
 70,hford,32,hexagonal,4, 8,L2norm,noPCA,1000,0.05,0.01,4,2.0,0.121533756447511,0.121534,11.701012,0.01,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,1,1,1,4
