date,site,StationNumber,StationName,Latitude,Longitude,TotalPrecipAmt,NewSnowDepth,NewSnowSWE,TotalSnowDepth,TotalSnowSWE
2014-08-16,Hungerford,VT-FR-12,St. Albans 1.9 NNE,44.83455,-73.06558,NA,NA,NA,NA,NA
2014-08-17,Hungerford,VT-FR-12,St. Albans 1.9 NNE,44.83455,-73.06558,0.27,NA,NA,NA,NA
2014-08-18,Hungerford,VT-FR-12,St. Albans 1.9 NNE,44.83455,-73.06558,0.01,NA,NA,NA,NA
2014-08-19,Hungerford,VT-FR-12,St. Albans 1.9 NNE,44.83455,-73.06558,0,0,NA,NA,NA
2014-08-20,Hungerford,VT-FR-12,St. Albans 1.9 NNE,44.83455,-73.06558,0,0,NA,NA,NA
2014-08-21,Hungerford,VT-FR-12,St. Albans 1.9 NNE,44.83455,-73.06558,0,0,NA,NA,NA
2014-08-22,Hungerford,VT-FR-12,St. Albans 1.9 NNE,44.83455,-73.06558,0.02,NA,NA,NA,NA
2014-08-23,Hungerford,VT-FR-12,St. Albans 1.9 NNE,44.83455,-73.06558,0,0,NA,NA,NA
2014-08-24,Hungerford,VT-FR-12,St. Albans 1.9 NNE,44.83455,-73.06558,0,0,NA,NA,NA
2014-08-25,Hungerford,VT-FR-12,St. Albans 1.9 NNE,44.83455,-73.06558,0,0,NA,NA,NA
2014-08-26,Hungerford,VT-FR-12,St. Albans 1.9 NNE,44.83455,-73.06558,0,0,NA,NA,NA
2014-08-27,Hungerford,VT-FR-12,St. Albans 1.9 NNE,44.83455,-73.06558,0,0,NA,NA,NA
2014-08-28,Hungerford,VT-FR-12,St. Albans 1.9 NNE,44.83455,-73.06558,0,0,NA,NA,NA
2014-08-29,Hungerford,VT-FR-12,St. Albans 1.9 NNE,44.83455,-73.06558,0,0,NA,NA,NA
