site,SOM,event_start,season,clust_wat_4cl,clust_wat_5cl,clust_wat_6cl,q_event_max,q_event_delta,q_event_dQRate_cmsPerHr,q_mm,rain_event_total_mm,rain_event_hrs,rain_int_mmPERmin_max,API_4d,solarRad_4d,q_4d,SoilTemp_pre_wet_15cm,VWC_pre_wet_30cm,PET_mmHR,diff_airT_soilT,gw_1d_well1,gw_1d_well2,gw_1d_well3,gw_1d_well4a,gw_1d_well5,gw_1d_allWells,gw_4d_well1,gw_4d_well2,gw_4d_well3,gw_4d_well4a,gw_4d_well5,gw_4d_allWells
Wade,water,2019-04-11 11:45:00,spring,4,5,3,1.83673222279889,0.8159507963820201,0.09066119959800223,7.319665076183058,5.6,0.4166666666666667,0.32,18.48998,44.44444444444444,2.48071678590985,0.010465008632089413,0.6761326188226263,0.4828,-4.096527777777778,-0.18280203085416666,-0.07894271252604167,0.019171870005208334,-0.06549482246354167,-0.09794792831770834,0.8630612694806826,-0.12812429928645833,-0.07333443548958334,0.020349565430989584,-0.07233730070442708,-0.07392767246744791,0.9040815510843683
Wade,water,2019-04-12 13:30:00,spring,4,5,3,4.25237091914666,3.09361843377075,0.11048637263466965,35.95157767483957,1.8,0.9166666666666666,0.2,10.94413,71.05902777777777,2.2233654390042004,0.011211776527292987,0.6801628455228783,0.3319,1.2049652777777777,-0.13273430919270834,-0.07100004831770833,0.02357815165625,-0.065755154234375,-0.07366140590104167,0.9011112076675909,-0.13625188700130209,-0.07309096423567708,0.021569624803385416,-0.06685291717578125,-0.07671802810677084,0.9051330993794388
Wade,water,2019-04-14 17:00:00,spring,4,4,1,4.00377802951008,1.0191951610532102,0.07279965436094359,44.022632391990925,16.2,45.416666666666664,0.24,22.54863625,125.87847222222223,2.476575731466996,0.017302630843315802,0.767550159919572,0.006,5.359236111111111,-0.06258848503645834,-0.06515622251041667,0.03102084747916667,-0.062171888333333335,-0.058411430859375,0.9451109500750089,-0.10369137522135416,-0.06823307438671875,0.027533862492187502,-0.06479428728255208,-0.06425780085026042,0.9338366709874127
Wade,water,2019-04-17 11:00:00,spring,4,5,3,2.79684281774697,1.05398672130368,0.10539867213036799,14.713881541173198,0,0,0,14.265674999999998,76.56684027777777,3.2170053932152567,0.017302630843315802,0.7467406039333975,0.6152,-0.3100694444444445,-0.11333328502083334,-0.06632290189583333,0.026536459505208332,-0.06149481439583333,-0.09051039565625,0.9129943010740595,-0.07480464523567708,-0.06330466319270833,0.03175393526171875,-0.06096614257421875,-0.061760398709635414,0.9577798549000034
Wade,water,2019-04-18 14:30:00,spring,4,4,1,5.41669423932204,2.86654672294166,0.0690734150106424,68.94885896340818,28,42.5,0.27999999999999997,41.93239125,71.58940972222223,2.9429939139289214,0.018796166633722945,0.7393684012781445,0.0748,3.647951388888889,-0.13096358666666666,-0.0724948324375,0.016932284177083333,-0.06823953586458334,-0.128276032484375,0.8754610351783606,-0.09522134793098959,-0.06540885447786458,0.027509127532552084,-0.06182679530859375,-0.08197915133984375,0.9366658910742172
Wade,water,2019-04-22 11:45:00,spring,4,5,3,3.3690191433021903,0.42177630507926533,0.06025375786846648,15.460578100847115,0,0,0,24.06426,81.99045138888889,3.5967998374447254,0.22481202123683067,0.8092783426534196,0.7454,5.416979166666666,-0.10754688747916667,-0.08196875997395833,0.0049479083229166665,-0.07375002745833334,-0.16922393999479166,0.8458615174980915,-0.08937237479427083,-0.06891665791666667,0.014660154171875,-0.07180469373307291,-0.11507029605859374,0.9063904560854091
Wade,water,2019-04-23 10:45:00,spring,4,4,1,3.53720117468468,0.74424437987303,0.040780513965645485,35.016717979308766,11.8,32.583333333333336,0.12,29.583334999999998,108.48177083333333,3.6207543343850563,0.27514910270981463,0.8068721379374026,0.4333,4.853090277777778,-0.10895320909375,-0.08613025494791667,0.0021718316979166667,-0.07732290921354167,-0.18738548159895832,0.8298227462405665,-0.0918450845390625,-0.07375652873046876,0.010493476884114583,-0.07418230623828125,-0.13274089040755208,0.8882323085144365
Wade,water,2019-04-26 09:45:00,spring,4,4,1,3.93904964432269,1.3199392016871703,0.05387506945661919,47.59913232572056,31.200000000000003,47.5,0.12,41.85900000000001,116.77951388888889,3.008754533213848,0.27875274319525584,0.7648869196699214,0.0804,-0.9578645833333344,-0.15445343038020834,-0.07129567361458333,0.020950956697916665,-0.060053491979166665,-0.152583569625,0.8692257615583383,-0.12426094747526041,-0.07767228279817709,0.0080226643515625,-0.0724929028046875,-0.15414370065625,0.8629041586457045
Wade,water,2019-05-01 15:45:00,spring,4,4,1,2.61911044263552,1.5007652247887,0.09235478306392,21.75933564850164,11.200000000000001,37.583333333333336,0.12,11.525802500000001,122.84895833333333,2.2898033187379845,0.20080420600780263,0.6627250937520409,0.0544,-0.6111805555555554,-0.18294272830208333,-0.07461457752083334,0.01662498584375,-0.0623071775625,-0.16990102002604165,0.8450447726461984,-0.15527084186197918,-0.07021354791015626,0.0198580585625,-0.06266790879036459,-0.14693357023958334,0.8792036064475032
Wade,water,2019-05-03 11:45:00,spring,4,5,2,3.15075644394254,0.6158892607870698,0.10711117578905563,28.730920814313187,14,20.416666666666668,0.12,23.4145,98.67795138888889,2.0490282490614375,0.2564561961130073,0.656902567074983,0.0628,0.9874652777777779,-0.166130222515625,-0.07076045085416667,0.015796889973958332,-0.05807285591145833,-0.144510465796875,0.8662046863941142,-0.1645338758203125,-0.07046355521484375,0.0176236854296875,-0.06068482463932292,-0.147149722921875,0.8750993056796693
